tolerance,perc.misclassified
0.005,0.24
0.00693877551020408,0.242222222222222
0.00887755102040816,0.242222222222222
0.0108163265306122,0.251111111111111
0.0127551020408163,0.251111111111111
0.0146938775510204,0.244444444444444
0.0166326530612245,0.246666666666667
0.0185714285714286,0.246666666666667
0.0205102040816327,0.246666666666667
0.0224489795918367,0.251111111111111
0.0243877551020408,0.251111111111111
0.0263265306122449,0.253333333333333
0.028265306122449,0.255555555555556
0.0302040816326531,0.257777777777778
0.0321428571428571,0.255555555555556
0.0340816326530612,0.26
0.0360204081632653,0.262222222222222
0.0379591836734694,0.26
0.0398979591836735,0.262222222222222
0.0418367346938775,0.262222222222222
0.0437755102040816,0.266666666666667
0.0457142857142857,0.266666666666667
0.0476530612244898,0.266666666666667
0.0495918367346939,0.266666666666667
0.051530612244898,0.266666666666667
0.053469387755102,0.266666666666667
0.0554081632653061,0.266666666666667
0.0573469387755102,0.266666666666667
0.0592857142857143,0.266666666666667
0.0612244897959184,0.271111111111111
0.0631632653061225,0.271111111111111
0.0651020408163265,0.271111111111111
0.0670408163265306,0.273333333333333
0.0689795918367347,0.271111111111111
0.0709183673469388,0.273333333333333
0.0728571428571429,0.275555555555556
0.0747959183673469,0.275555555555556
0.076734693877551,0.275555555555556
0.0786734693877551,0.275555555555556
0.0806122448979592,0.275555555555556
0.0825510204081633,0.277777777777778
0.0844897959183673,0.277777777777778
0.0864285714285714,0.277777777777778
0.0883673469387755,0.275555555555556
0.0903061224489796,0.275555555555556
0.0922448979591837,0.275555555555556
0.0941836734693878,0.275555555555556
0.0961224489795918,0.275555555555556
0.0980612244897959,0.277777777777778
0.1,0.277777777777778
