Tol,Ne,a,duration,start
0.005,1993.96062010501,17.8574785357827,2096.46432812957,6064.84082095195
0.0205263157894737,1977.72359217698,17.8930301506361,2120.00242483656,6396.72110604652
0.0360526315789474,1993.20962270545,17.9671199472385,2140.47116943133,6660.46488244583
0.0515789473684211,2005.5918198184,18.00507048317,2151.31061639916,6856.69567070609
0.0671052631578947,2016.94580536134,18.0555619248146,2164.84508672178,7012.69206157736
0.0826315789473684,2026.88674637537,18.0963533310599,2176.21538499146,7168.73270760689
0.0981578947368421,2036.62195219244,18.1377525383131,2184.99259927042,7307.52439693246
0.113684210526316,2046.63180808154,18.1749951570016,2192.1014982039,7429.60599276114
0.129210526315789,2054.54774002861,18.2020994315048,2199.49368170527,7539.95971431945
0.144736842105263,2063.03007537086,18.235145781663,2206.47845605101,7641.6238950354
0.160263157894737,2070.60150154949,18.2604573436882,2212.73934319134,7729.90419377025
0.175789473684211,2079.04096968197,18.2781378099883,2219.14399956311,7823.05895764995
0.191315789473684,2086.2670999603,18.3061979942317,2223.6428982203,7920.97095750877
0.206842105263158,2093.29791756412,18.3335726547917,2228.10469235939,8013.29199600067
0.222368421052632,2100.37680058032,18.3551341292884,2232.86955285414,8099.44974579439
0.237894736842105,2107.37965337648,18.3772042369394,2236.75707203601,8173.63814774949
0.253421052631579,2113.52354033492,18.3992952034119,2240.31438248001,8250.75955910682
0.268947368421053,2119.69272526535,18.4236624447385,2243.8216341465,8324.45688338739
0.284473684210526,2125.61063422164,18.4467987388525,2247.14386643888,8396.45731142741
0.3,2131.24725813026,18.4718973844988,2249.59168386761,8465.54991941724
