Tol,Ne,a,duration,start
0.005,2030.05636266521,19.9422760361956,1978.91537045729,5585.18870776017
0.0205263157894737,2046.38214127829,19.9127356330969,1963.29990372508,5589.9525980558
0.0360526315789474,2062.58792020719,19.9282591301424,1961.71874660204,5589.73515917647
0.0515789473684211,2079.74107056196,19.9203886431549,1960.12568891549,5583.0814311961
0.0671052631578947,2089.9616390722,19.8921666545764,1958.29184977153,5584.55376755076
0.0826315789473684,2096.34815526272,19.8566768889841,1956.69137374218,5590.12123625865
0.0981578947368421,2100.50336043885,19.8316273634593,1956.90961370814,5593.64174348205
0.113684210526316,2105.47543037017,19.8140544761045,1957.05177792453,5594.7324171969
0.129210526315789,2108.81895879862,19.8016165571231,1957.0657400563,5597.59443549087
0.144736842105263,2113.0492339641,19.784754847704,1957.86352387191,5600.45702208883
0.160263157894737,2117.43877622063,19.7723826276713,1957.8941177869,5602.78511063021
0.175789473684211,2121.50311463733,19.7654341555473,1958.38251464352,5603.67015004158
0.191315789473684,2126.33000152417,19.7600496635997,1958.49610865157,5605.29770215642
0.206842105263158,2130.66888142863,19.7568608045315,1958.3946036723,5606.38268424857
0.222368421052632,2135.36030912964,19.7560703002226,1958.25655826801,5607.28301807882
0.237894736842105,2140.0674317098,19.7587571195898,1958.02211201782,5607.35529782757
0.253421052631579,2144.36273371178,19.7601685153557,1957.81683154591,5607.70189733167
0.268947368421053,2149.00385371281,19.7629116073158,1957.76889567141,5607.99474914309
0.284473684210526,2152.83254306917,19.7627931011846,1957.55098156073,5608.30897584454
0.3,2157.0974766958,19.7637145991152,1957.39001711856,5608.28588132715
